question,expected_answer,generated_answer,inference_type
"What entities, as reported by Sporting News, are known to modify their point spread, moneyline, and NBA Rookie of the Year betting lines in response to news, betting patterns, liability, and events such as injuries or roster changes?",Sportsbooks,"DraftKings, FanDuel, and BetMGM",LLM
What are the entities associated with the Sporting News that not only modify betting lines based on the amount of money wagered and collected information but also offer promotional incentives and have the authority to return stakes in certain weather-affected events?,Sportsbooks,sportsbooks,KG
"What type of establishments, as reported by Sporting News, would alter betting lines due to news about team performance, suspend bets for weather-related game suspensions, modify odds in response to roster changes, and update NBA Rookie of the Year betting lines based on collected data?",Sportsbooks,sportsbooks,LLM
"Which wide receiver, currently leading the league and ranked as WR1 by Sporting News for Week 14, would need to average almost 153 yards over his final three games, as suggested by CBSSports.com, to reach a season goal of 2,000 receiving yards, despite facing strong pass defenses in his remaining games according to Sporting News, and also scored two touchdowns with 157 receiving yards for the Miami Dolphins as reported by The Guardian?",Tyreek Hill,tyreek hill,KG
"What type of establishments, as reported by Sporting News, would modify betting odds and lines due to news sentiment or money flow, and also provide welcome bonuses, particularly in the context of the NBA Rookie of the Year wagering?",Sportsbooks.,"DraftKings, FanDuel, and BetMGM",LLM
"What is the type of establishment mentioned by Sporting News that alters betting lines in response to events such as injuries or roster changes, balances liability based on where significant amounts of money are placed, and refines NBA Rookie of the Year odds according to the information collected?",Sportsbooks,Sportsbooks,LLM
"Which type of establishments, as reported by Sporting News, are known to modify betting odds to manage their financial risk, may return wagers in certain weather-related interruptions, profit from betting outcomes regardless of the event's result, and alter specific award-related betting lines based on new information?",Sportsbooks,sportsbooks,KG
"What type of establishments, as reported by Sporting News, not only adjust and tighten NBA Rookie of the Year betting lines based on information but also provide welcome bonuses with specific requirements and can still earn a profit from odds and lines irrespective of betting outcomes?",Sportsbooks,sportsbooks,KG
"What is the common term for entities that may refund bets for suspended MLB games due to weather, profit from odds and lines regardless of bet outcomes, and adjust NBA Rookie of the Year betting lines based on information, as reported by Sporting News?",Sportsbooks,sportsbooks,LLM
"Which player, featured in articles by CBSSports.com and Sporting News, would need to average almost 153 yards per game in his final three games to reach a personal goal, but may face challenges due to the strong pass defenses of the remaining opponents?",Tyreek Hill,tyreek hill,KG
"What are the entities that not only provide introductory incentives to attract users but also modify their betting options for events and player awards based on news and public sentiment, as reported by the Sporting News?",Sportsbooks,vermont,KG
"Which wide receiver, currently leading the league and recognized by Sporting News as the top choice for Week 14, would need to average almost 153 yards over his final three games, as noted by CBSSports.com, to meet his season goal but faces a challenge due to the strong pass defenses of his team's remaining opponents, according to Sporting News?",Tyreek Hill,,LLM
"What group of people can utilize the options provided by team golf events to place bets on outcomes or engage in prop betting, and also capitalize on the hype generated around events to potentially profit, as reported by Sporting News?",Bettors,sports betting apps,LLM
"Which platform, featured on Sporting News, provides a $1,000 Bonus Bet to new Vermont sign-ups for their first loss and offers extensive betting options for the PGA Tour and other major events?",Caesars Sportsbook,fanduel sportsbook vermont,KG
"Who is the quarterback that threw four touchdowns against the Cowboys according to Sporting News, and has been noted by CBSSports.com to complete only 50% of his throws for 6.7 yards per attempt with a 15.9% off-target rate when under pressure?",Brock Purdy,dak prescott,KG
"Who is the player recognized by Sporting News as the top wide receiver for Week 14 and might face challenges in reaching 2,000-plus receiving yards in a single season due to the strong pass defenses of his team's remaining opponents?",Tyreek Hill,,LLM
"What type of establishments, as reported by Sporting News, are known to modify their betting lines and odds in response to team news, player injuries, or roster changes, and can still secure profit irrespective of the wager's result, while also specifically altering NBA Rookie of the Year betting odds based on new information?",Sportsbooks,Sportsbooks,LLM
"Who, according to articles from Sporting News, can profit from predicting the outcome of a Cowboys game, the leader at a certain quarter, the total points scored in a game, or the results of various events in team golf, and also take advantage of the hype around specific events to potentially make money?",Bettors,ryder cup,KG
"What type of establishments, as reported by Sporting News, are known to manipulate betting lines in response to events like injuries, and are also capable of ensuring profit from the odds regardless of the outcome, particularly in situations like the NBA Rookie of the Year bets?",Sportsbooks,draftking,KG
"What are the entities that, according to Sporting News, not only offer welcome bonuses with specific requirements but also modify their betting lines in response to events like injuries or roster changes, and tighten NBA Rookie of the Year odds, all while adjusting odds to manage their liability when heavy betting occurs on a particular team or individual?",Sportsbooks,"DraftKings, FanDuel, and BetMGM",LLM
"Which sportsbook, featured in articles by Sporting News, provides a cash-out option to settle bets early and is anticipated to offer new Vermont sign-ups a Bonus Bet up to $1,000 if their first bet loses?",Caesars Sportsbook,draftking,KG
"What type of establishments, as reported by Sporting News, would modify their betting lines due to team news or sentiment, player injuries or roster changes, and information affecting NBA Rookie of the Year predictions, while also providing welcome bonuses to new bettors?",Sportsbooks,sportsbooks,KG
"What type of businesses, frequently featured in Sporting News articles, are known to manipulate betting lines to manage their financial risk and ensure profitability, regardless of the event outcomes or where large sums of money are wagered?",Sportsbooks,sportsbooks,KG
"Who, after a period of injury affecting his participation in the MLS playoffs with Inter Miami, is also recognized for influencing the integration of emerging talents into Argentina's forward line as observed in a World Cup qualifying match covered by Sporting News?",Lionel Messi,lionel messi,KG
"Which team, known for being a favorite and having previously suffered defeats in Christchurch and Sydney, attempted a strategic play while having a numerical advantage on the field during a controversial and dramatic final, as discussed in articles from 'The Roar | Sports Writers Blog'?",All Blacks,all blacks,KG
"Which sportsbook, highlighted by both 'Sporting News' and 'CBSSports.com', provides a cash-out option for MLB bets, a welcome bonus plus NBA promotions, and up to $1,000 in bonus bets for new customers in Kentucky and Vermont if their first bet does not win?",Caesars Sportsbook,draftking,KG
"Which NFL player, featured in articles by 'The Guardian', 'The New York Times', and 'Sporting News', scored two touchdowns in a single game for the Miami Dolphins, has a significant number of receiving yards partway through the season, but might face challenges reaching 2,000-plus receiving yards due to the strong pass defenses of upcoming opponents?",Tyreek Hill,tyreek hill,KG
"Who is the player mentioned by The New York Times for his early-season receiving yards achievement, by Sporting News as the leading receiver and top fantasy pick for Week 14, by CBSSports.com for his challenging goal of reaching a seasonal receiving milestone, and again by Sporting News for the potential difficulty in achieving that milestone due to upcoming strong defensive matchups?",Tyreek Hill,tyreek hill,KG
"Which company is anticipated to provide a $1,000 Bonus Bet to new sign-ups in Vermont according to Sporting News, and also extends the same offer to new customers as reported by CBSSports.com?",Caesars Sportsbook,caesars sportsbook,KG
"Who, according to articles in Sporting News, stand to make a profit by predicting outcomes such as a team's lead at the end of a quarter or the total points scored, and can also capitalize on event hype, like putting $130 on the Cowboys to potentially gain $100?",Bettors,nfc east,KG
