question,expected_answer,generated_answer,inference_type
"Which global music artist, who is Time's Person of the Year according to 'The Independent - Life and Style' and is openly in a relationship with Travis Kelce, is expected not to cancel any shows from her year-long Eras Tour, where she might receive a friendship bracelet during her concert in Kansas City as reported by 'The Age'?",Taylor Swift,taylor swift,KG
"Which company, recently subjected to an antitrust lawsuit that affected its stock value, offers a two-pack of USB-C-to-USB-C cables for purchase, introduced invite-only deals during Prime Day, and provides a platform that sellers describe as life-changing?",Amazon,Amazon,LLM
"Which two public figures have been the subject of speculation about a romantic connection, evidenced by one being observed leaving a stadium with the other, mutual career support since the beginning of their relationship, and one wearing a themed friendship bracelet, as reported by sources including 'The Age', 'CBSSports.com', and 'The Independent - Life and Style'?",Taylor Swift and Travis Kelce,Taylor Swift and Travis Kelce,LLM
"What is the platform criticized by Sarah Michelle Gellar for its parental controls and where players can spend money on in-game items, which is also exploring the development of generative AI to create user-like virtual doppelgangers, as reported by 'The Independent - Life and Style' and 'The Verge'?",Roblox,Roblox,LLM
"What is the name of the platform that is scrutinized for serving content related to eating disorders, as reported by 'The Age', and is also recognized for its strategic focus on music-related services aiming to integrate with the music industry, according to 'Music Business Worldwide'?",TikTok,Roblox,LLM
"Which individual, who is open about her relationship with Travis Kelce and is capable of experiencing major events without media awareness, has a tour booked for the next year and insists on not letting paparazzi affect her despite the attention her outings receive, as reported by 'The Independent - Life and Style' and 'BBC News - Entertainment & Arts'?",Taylor Swift,taylor swift,KG
"Which platform is favored by Keira Megan for fan engagement and authenticity, and has also been in the news on TechCrunch for altering its revenue split to focus more on ad revenue?",Twitch,esfand,KG
"Which two individuals, linked by recent events reported by 'The Age' and 'The Independent - Life and Style', were seen leaving a stadium together and are the subject of dating speculations due to one being spotted cheering on the other from the box seats at Arrowhead Stadium?",Taylor Swift and Travis Kelce,Taylor Swift and Travis Kelce,LLM
"Which pop star, who became public property by the age of 16 according to The Guardian, was commended by Kevin Federline for responsibly dealing with her situation as reported by The Independent - Life and Style, and was also claimed by Jason Alexander to be his first and only wife in addition to being forced to take lithium against her will?",Britney Spears,Britney Spears,LLM
"Which pop star, who became a public figure unable to avoid attention at the age of 16 according to 'The Guardian', has been commended by Kevin Federline for responsibly handling her situation as reported by 'The Independent - Life and Style', and also claimed to have been forced to take lithium against her will as per another article from 'The Independent - Life and Style'?",Britney Spears,Britney Spears,LLM
"Which public figure, recognized by Time as Person of the Year and linked romantically to Travis Kelce, has the capacity to undergo significant events privately and was also spotted supporting at an NFL venue, as reported by 'The Independent - Life and Style', 'The Age', and 'BBC News - Entertainment & Arts'?",Taylor Swift,taylor swift,KG
"Who is the athlete that contributed to his team's Super Bowl victories in both 2020 and 2023, was present at one of Taylor Swift's concerts in Buenos Aires in November, and was anticipated to end his four-game scoring drought in a Christmas Day game against the Raiders according to articles from 'The Age,' 'The Independent - Life and Style,' and 'Yardbarker'?",Travis Kelce,travis kelce,KG
"Which celebrity, known for experiencing significant events away from media scrutiny, was recognized by 'The Independent - Life and Style' as Time's Person of the Year, has been rumored to be romantically linked with a Chiefs TE according to 'CBSSports.com', and was also spotted supporting at Arrowhead Stadium as reported by 'The Age'?",Taylor Swift,travis kelce,KG
"Which pop star, who is open about her relationship with a Chiefs TE and is unaffected by paparazzi attention, has a busy schedule with the Eras Tour and received a friendship bracelet with his number from her partner, as reported by 'The Independent - Life and Style' and 'CBSSports.com'?",Taylor Swift,Taylor Swift,LLM
"Which company, known for its dominance in the e-reader space and providing life-changing opportunities for sellers, has implemented invite-only deals during its Prime Day event and carried over these exclusive offers to subsequent sales events covered by Mashable, Wired, The Verge, and CNBC?",Amazon,Amazon,LLM
"Which pop star, recently named Time's Person of the Year by 'The Independent - Life and Style', has been the subject of rumors involving a friendship bracelet from a Chiefs TE, as reported by both 'The Age' and 'CBSSports.com', and has openly discussed her approach to dealing with paparazzi attention?",Taylor Swift,taylor swift,KG
